bug_report,file,first_appear,last_appear,reason
https://bugzilla.mozilla.org/show_bug.cgi?id=1510494,toolkit/mozapps/update/updater/updater.cpp,63,69,
https://bugzilla.mozilla.org/show_bug.cgi?id=1560667,dom/base/SerializedStackHolder.cpp,69,69,
https://bugzilla.mozilla.org/show_bug.cgi?id=1560667,dom/base/StructuredCloneHolder.cpp,65,69,
https://bugzilla.mozilla.org/show_bug.cgi?id=1560667,dom/base/test/gtest/TestContentUtils.cpp,66,69,
https://bugzilla.mozilla.org/show_bug.cgi?id=1560667,dom/script/ScriptSettings.cpp,63,69,
https://bugzilla.mozilla.org/show_bug.cgi?id=1560667,dom/workers/RuntimeService.cpp,69,69,
https://bugzilla.mozilla.org/show_bug.cgi?id=1560667,js/xpconnect/loader/mozJSComponentLoader.cpp,65,69,
https://bugzilla.mozilla.org/show_bug.cgi?id=1560667,js/xpconnect/loader/mozJSSubScriptLoader.cpp,68,69,
https://bugzilla.mozilla.org/show_bug.cgi?id=1560667,js/xpconnect/src/XPCComponents.cpp,65,69,
https://bugzilla.mozilla.org/show_bug.cgi?id=1560667,js/xpconnect/src/XPCJSRuntime.cpp,65,69,
https://bugzilla.mozilla.org/show_bug.cgi?id=1560667,js/xpconnect/src/XPCVariant.cpp,63,69,
https://bugzilla.mozilla.org/show_bug.cgi?id=1560667,js/xpconnect/src/XPCWrappedNativeJSOps.cpp,65,69,
https://bugzilla.mozilla.org/show_bug.cgi?id=1560667,storage/mozStorageStatementJSHelper.cpp,68,69,
https://bugzilla.mozilla.org/show_bug.cgi?id=1560667,toolkit/components/places/History.cpp,63,69,
https://bugzilla.mozilla.org/show_bug.cgi?id=1560667,toolkit/components/telemetry/geckoview/TelemetryGeckoViewPersistence.cpp,65,69,
https://bugzilla.mozilla.org/show_bug.cgi?id=1560667,toolkit/components/telemetry/tests/gtest/TelemetryFixture.cpp,63,69,
https://bugzilla.mozilla.org/show_bug.cgi?id=1584170,dom/base/nsPlainTextSerializer.cpp,65,69,
https://bugzilla.mozilla.org/show_bug.cgi?id=1585760,gfx/layers/PersistentBufferProvider.cpp,63,69,
https://bugzilla.mozilla.org/show_bug.cgi?id=1585760,gfx/layers/client/CompositableClient.cpp,63,69,
https://bugzilla.mozilla.org/show_bug.cgi?id=1585760,gfx/layers/client/TextureClient.cpp,65,69,
https://bugzilla.mozilla.org/show_bug.cgi?id=1586176,security/nss/lib/softoken/pkcs11c.c,63,69,
https://bugzilla.mozilla.org/show_bug.cgi?id=1586293,dom/media/ipc/RemoteMediaDataDecoder.cpp,68,69,
https://bugzilla.mozilla.org/show_bug.cgi?id=1591334,dom/base/nsGlobalWindowOuter.cpp,66,69,
https://bugzilla.mozilla.org/show_bug.cgi?id=1591334,toolkit/components/antitracking/AntiTrackingCommon.cpp,66,69,
https://bugzilla.mozilla.org/show_bug.cgi?id=1593865,layout/style/StyleSheet.cpp,68,69,
https://bugzilla.mozilla.org/show_bug.cgi?id=1549394,widget/windows/TSFTextStore.cpp,65,70,
https://bugzilla.mozilla.org/show_bug.cgi?id=1549394,widget/windows/WinIMEHandler.cpp,65,70,
https://bugzilla.mozilla.org/show_bug.cgi?id=1590001,security/nss/lib/ssl/ssl3con.c,63,70,
https://bugzilla.mozilla.org/show_bug.cgi?id=1595692,extensions/auth/nsHttpNegotiateAuth.cpp,65,70,
https://bugzilla.mozilla.org/show_bug.cgi?id=1595692,netwerk/protocol/http/nsHttpNTLMAuth.cpp,65,70,
https://bugzilla.mozilla.org/show_bug.cgi?id=1598605,security/manager/ssl/nsNSSCertHelper.cpp,63,70,
https://bugzilla.mozilla.org/show_bug.cgi?id=1602843,dom/base/nsTreeSanitizer.cpp,70,70,
https://bugzilla.mozilla.org/show_bug.cgi?id=1602843,layout/style/StyleSheet.cpp,65,70,
https://bugzilla.mozilla.org/show_bug.cgi?id=1596706,js/src/frontend/BytecodeCompiler.cpp,63,71,
https://bugzilla.mozilla.org/show_bug.cgi?id=1596706,js/src/frontend/Parser.cpp,67,71,
https://bugzilla.mozilla.org/show_bug.cgi?id=1607443,js/src/jit/AliasAnalysis.cpp,65,71,
https://bugzilla.mozilla.org/show_bug.cgi?id=1181957,js/xpconnect/src/XPCWrappedJSClass.cpp,65,72,
https://bugzilla.mozilla.org/show_bug.cgi?id=1432856,dom/base/Element.cpp,68,72,
https://bugzilla.mozilla.org/show_bug.cgi?id=1432856,dom/base/nsContentUtils.cpp,68,72,
https://bugzilla.mozilla.org/show_bug.cgi?id=1432856,dom/base/nsFocusManager.cpp,66,72,
https://bugzilla.mozilla.org/show_bug.cgi?id=1432856,dom/base/nsGlobalWindowOuter.cpp,68,72,
https://bugzilla.mozilla.org/show_bug.cgi?id=1557739,dom/ipc/ContentChild.cpp,65,72,
https://bugzilla.mozilla.org/show_bug.cgi?id=1557739,dom/ipc/ContentProcess.cpp,65,72,
https://bugzilla.mozilla.org/show_bug.cgi?id=1557739,dom/media/gmp/GMPChild.cpp,65,72,
https://bugzilla.mozilla.org/show_bug.cgi?id=1557739,dom/media/gmp/GMPServiceParent.cpp,65,72,
https://bugzilla.mozilla.org/show_bug.cgi?id=1557739,dom/media/ipc/RDDParent.cpp,65,72,
https://bugzilla.mozilla.org/show_bug.cgi?id=1557739,dom/plugins/ipc/PluginModuleChild.cpp,65,72,
https://bugzilla.mozilla.org/show_bug.cgi?id=1557739,gfx/ipc/GPUParent.cpp,65,72,
https://bugzilla.mozilla.org/show_bug.cgi?id=1557739,gfx/vr/ipc/VRParent.cpp,65,72,
https://bugzilla.mozilla.org/show_bug.cgi?id=1557739,ipc/glue/MessageChannel.cpp,65,72,
https://bugzilla.mozilla.org/show_bug.cgi?id=1557739,ipc/glue/MessageLink.cpp,68,72,
https://bugzilla.mozilla.org/show_bug.cgi?id=1557739,ipc/glue/ProtocolUtils.cpp,69,72,
https://bugzilla.mozilla.org/show_bug.cgi?id=1557739,netwerk/ipc/SocketProcessChild.cpp,66,72,
https://bugzilla.mozilla.org/show_bug.cgi?id=1557739,security/sandbox/win/src/remotesandboxbroker/RemoteSandboxBrokerChild.cpp,67,72,
https://bugzilla.mozilla.org/show_bug.cgi?id=1604847,dom/clients/manager/ClientSourceChild.cpp,63,72,
https://bugzilla.mozilla.org/show_bug.cgi?id=1604847,dom/clients/manager/ClientSourceOpChild.cpp,63,72,
https://bugzilla.mozilla.org/show_bug.cgi?id=1605814,dom/base/nsStyleLinkElement.cpp,70,72,
https://bugzilla.mozilla.org/show_bug.cgi?id=1605814,dom/html/HTMLStyleElement.cpp,65,72,
https://bugzilla.mozilla.org/show_bug.cgi?id=1608256,js/src/jit/Ion.cpp,65,72,
https://bugzilla.mozilla.org/show_bug.cgi?id=1608256,js/src/jit/Lowering.cpp,65,72,
https://bugzilla.mozilla.org/show_bug.cgi?id=1613765,netwerk/sctp/src/netinet/sctp_auth.c,63,72,
https://bugzilla.mozilla.org/show_bug.cgi?id=1613765,netwerk/sctp/src/netinet/sctp_pcb.c,68,72,
https://bugzilla.mozilla.org/show_bug.cgi?id=1613765,netwerk/sctp/src/netinet/sctp_usrreq.c,68,72,
https://bugzilla.mozilla.org/show_bug.cgi?id=1619229,js/src/gc/GC.cpp,73,73,
https://bugzilla.mozilla.org/show_bug.cgi?id=1619229,xpcom/base/CycleCollectedJSRuntime.cpp,65,73,
https://bugzilla.mozilla.org/show_bug.cgi?id=1545345,dom/bindings/CallbackObject.cpp,74,74,
https://bugzilla.mozilla.org/show_bug.cgi?id=1545345,dom/workers/WorkerPrivate.cpp,68,74,
